quarter,start,end,points,pos,kickoff,punt,fumble,int,downs
3,20,34,,1,,1,,,
3,28,35,3,,1,,,,
3,19,36,,1,,,1,,
,,,,,,,,,
,,,,,,,,,
1,16,44,,,,1,,,
1,10,10,,1,,,1,,
1,87,35,7,,1,,,,
1,25,42,,1,,,1,,
1,23,35,7,,1,,,,
1,78,35,3,,1,,,,
1,21,34,,1,,1,,,
1,27,35,7,,1,,,,
3,43,39,,1,,1,,,
3,23,35,3,,1,,,,
3,31,22,,1,,1,,,
3,40,35,7,,1,,,,
3,43,45,,1,,,,,1
3,55,35,3,,1,,,,
,,,,,,,,,
1,25,35,7,1,1,,,,
1,20,35,7,,1,,,,
1,25,49,,1,,,,1,
1,31,21,,,,1,,,
1,48,35,7,1,1,,,,
3,23,35,3,,1,,,,
3,25,58,,1,,1,,,
3,20,35,7,,1,,,,
3,25,26,,1,,1,,,
3,26,40,,,,1,,,
3,29,29,,1,,,1,,
3,81,35,7,,1,,,,
3,25,96,,1,,,,,1
,,,,,,,,,
1,25,35,7,1,1,,,,
1,25,35,3,,1,,,,
1,25,35,7,1,1,,,,
1,25,35,7,,1,,,,
3,28,68,,,,,,1,
1,5,35,7,1,1,,,,
1,25,18,,,,1,,,
1,49,70,,1,,,1,,
1,37,52,,,,,,,1
1,48,35,7,1,1,,,,
1,25,35,7,,1,,,,
1,25,57,,1,,,,1,
