quarter,start,end,points,pos,kickoff,punt,fumble,int,downs
1,25,15,,,,1,,,
1,48,35,7,1,1,,,,
1,25,15,,,,1,,,
1,35,35,7,1,1,,,,
1,25,28,,,,1,,,
1,19,35,7,1,1,,,,
3,40,51,,1,,,,,1
3,49,35,7,,1,,,,
3,34,35,7,1,1,,,,
3,37,58,,,,1,,,
3,8,93,,1,,,,1,
,,,,,,,,,
1,15,31,,1,,1,,,
1,20,26,,,,1,,,
1,11,18,,1,,1,,,
1,37,40,,,,1,,,
1,19,61,,1,,,1,,
1,33,35,3,,1,,,,
1,35,58,,1,,1,,,
3,25,35,7,,1,,,,
3,25,35,7,1,1,,,,
3,49,35,7,1,1,,,,
3,25,35,3,,1,,,,
3,25,35,3,1,1,,,,
,,,,,,,,,
1,25,82,,1,,,1,,
1,18,56,,,,1,,,
1,11,42,,1,,1,,,
1,6,31,,,,1,,,
1,50,35,7,1,1,,,,
3,25,46,,,,1,,,
3,13,35,7,1,1,,,,
3,25,61,,,,,,,1
3,40,35,7,1,1,,,,
3,25,49,,,,,,1,
,,,,,,,,,
1,25,34,,1,,1,,,
1,34,43,,,,1,,,
1,17,26,,1,,1,,,
1,42,35,3,,1,,,,
1,25,35,7,1,1,,,,
1,31,35,3,,1,,,,
1,29,31,,1,,1,,,
3,23,20,,,,1,,,
3,41,35,7,1,1,,,,
3,31,37,,,,1,,,
3,13,62,,1,,,,,1
3,38,35,7,,1,,,,
3,25,25,,1,,,,1,
3,62,35,8,,1,,,,
3,43,35,6,1,1,,,,
,,,,,,,,,
1,25,33,,1,,1,,,
1,26,35,7,,1,,,,
1,18,70,,1,,,,,
1,30,41,,,,1,,,
1,34,35,3,1,1,,,,
3,28,35,3,,1,,,,
3,22,31,,1,,1,,,
3,26,46,,,,1,,,
3,15,35,3,1,1,,,,
3,22,35,7,,1,,,,
,,,,,,,,,
quarter,start,end,points,pos,kickoff,punt,fumble,int,downs
1,24,35,7,1,1,,,,
1,25,76,,,,,,,
1,24,24,,1,,,,1,
1,73,35,7,,1,,,,
1,38,44,,1,,1,,,
1,1,32,,,,1,,,
1,23,44,,1,,1,,,
1,18,17,,,,1,,,
3,20,14,,,,1,,,
3,51,51,,1,,,,1,
3,20,27,,,,1,,,
3,22,28,,1,,1,,,
3,26,51,,,,1,,,
3,10,29,,1,,1,,,
3,23,23,,,,,,1,
3,86,35,3,1,1,,,,
3,25,48,,,,1,,,
,,,,,,,,,
1,22,29,,,,1,,,
1,53,58,,1,,1,,,
1,6,55,,,,1,,,
1,13,18,,1,,1,,,
1,46,50,,,,1,,,
1,27,35,3,1,1,,,,
1,25,35,3,,1,,,,
3,35,42,,1,,1,,,
3,9,35,7,,1,,,,
3,34,72,,1,,,1,,
